1, 	153, 	29847, 	162.377, 	 theta = 13088; 	 update: 0	 add root: 0 	 delete root: 0, 	2108.66 MB, 	13.8843 秒
1, 	280, 	29720, 	163.066, 	 theta = 13088; 	 update: 0	 add root: 0 	 delete root: 0, 	2108.17 MB, 	13.9075 秒
2, 	4, 	29716, 	163.088, 	 theta = 26176; 	 update: 267	 add root: 13088 	 delete root: 0, 	2494.37 MB, 	15.2749 秒
3, 	138, 	29578, 	163.844, 	 theta = 52352; 	 update: 315	 add root: 13 	 delete root: 0, 	3250.79 MB, 	27.8717 秒
4, 	4, 	29574, 	163.866, 	 theta = 52352; 	 update: 768	 add root: 32888 	 delete root: 0, 	3343.86 MB, 	5.43465 秒
5, 	223, 	29351, 	165.104, 	 theta = 26176; 	 update: 100	 add root: 1151 	 delete root: 0, 	3346.44 MB, 	3.00908 秒
6, 	24, 	29327, 	165.238, 	 theta = 52352; 	 update: 3138	 add root: 52352 	 delete root: 0, 	3397.82 MB, 	8.61163 秒
7, 	488, 	28839, 	168.017, 	 theta = 26176; 	 update: 316	 add root: 84 	 delete root: 0, 	3397.82 MB, 	3.16167 秒
8, 	90, 	28749, 	168.54, 	 theta = 52352; 	 update: 8475	 add root: 52352 	 delete root: 0, 	3408.9 MB, 	14.3787 秒
9, 	1327, 	27422, 	176.648, 	 theta = 52352; 	 update: 435	 add root: 4458 	 delete root: 0, 	3409.16 MB, 	3.8564 秒
10, 	743, 	26679, 	181.539, 	 theta = 52224; 	 update: 22838	 add root: 52224 	 delete root: 0, 	3441.89 MB, 	31.937 秒
11, 	33, 	26646, 	181.763, 	 theta = 52224; 	 update: 10831	 add root: 52224 	 delete root: 0, 	3459.94 MB, 	18.6411 秒
12, 	47, 	26599, 	182.082, 	 theta = 52224; 	 update: 236	 add root: 23559 	 delete root: 0, 	3460.2 MB, 	4.68489 秒
13, 	16, 	26583, 	182.191, 	 theta = 52224; 	 update: 569	 add root: 24504 	 delete root: 0, 	3460.46 MB, 	5.08721 秒
14, 	16, 	26567, 	182.3, 	 theta = 52224; 	 update: 207	 add root: 66 	 delete root: 0, 	3460.46 MB, 	3.48179 秒
15, 	86, 	26481, 	182.889, 	 theta = 104448; 	 update: 432	 add root: 212 	 delete root: 0, 	5093.34 MB, 	60.2668 秒
16, 	219, 	26262, 	184.406, 	 theta = 52224; 	 update: 363	 add root: 40490 	 delete root: 0, 	5100.8 MB, 	6.3616 秒
17, 	7, 	26255, 	184.455, 	 theta = 52224; 	 update: 802	 add root: 52224 	 delete root: 0, 	5112.14 MB, 	7.68103 秒
18, 	11, 	26244, 	184.532, 	 theta = 52224; 	 update: 343	 add root: 27 	 delete root: 0, 	5113.69 MB, 	4.26651 秒
19, 	486, 	25758, 	187.995, 	 theta = 52224; 	 update: 808	 add root: 3165 	 delete root: 0, 	5116.52 MB, 	5.09548 秒
20, 	51, 	25707, 	188.366, 	 theta = 104448; 	 update: 19051	 add root: 104448 	 delete root: 0, 	5410.88 MB, 	36.4003 秒
21, 	6, 	25701, 	188.409, 	 theta = 104448; 	 update: 715	 add root: 1522 	 delete root: 0, 	5411.65 MB, 	5.23171 秒
22, 	34, 	25667, 	188.658, 	 theta = 104448; 	 update: 602	 add root: 41 	 delete root: 0, 	5411.65 MB, 	5.00861 秒
23, 	10, 	25657, 	188.731, 	 theta = 52224; 	 update: 258	 add root: 16635 	 delete root: 0, 	5411.65 MB, 	5.09695 秒
24, 	157, 	25500, 	189.887, 	 theta = 104448; 	 update: 619	 add root: 31958 	 delete root: 0, 	5411.91 MB, 	6.48125 秒
25, 	12, 	25488, 	189.976, 	 theta = 52096; 	 update: 672	 add root: 40204 	 delete root: 0, 	5412.17 MB, 	7.2608 秒
26, 	76, 	25412, 	190.541, 	 theta = 52096; 	 update: 248	 add root: 9418 	 delete root: 0, 	5412.43 MB, 	4.70892 秒
27, 	26, 	25386, 	190.735, 	 theta = 104192; 	 update: 5512	 add root: 56438 	 delete root: 0, 	5415.52 MB, 	13.9654 秒
28, 	11, 	25375, 	190.817, 	 theta = 52096; 	 update: 369	 add root: 20304 	 delete root: 0, 	5415.52 MB, 	5.49938 秒
29, 	57, 	25318, 	191.244, 	 theta = 52096; 	 update: 381	 add root: 8580 	 delete root: 0, 	5415.52 MB, 	4.87732 秒
30, 	8, 	25310, 	191.305, 	 theta = 52096; 	 update: 385	 add root: 18976 	 delete root: 0, 	5428.41 MB, 	5.43733 秒
31, 	22, 	25288, 	191.47, 	 theta = 104192; 	 update: 2333	 add root: 47914 	 delete root: 0, 	5429.18 MB, 	9.19541 秒
32, 	5, 	25283, 	191.508, 	 theta = 104192; 	 update: 469	 add root: 146 	 delete root: 0, 	5429.44 MB, 	4.92338 秒
33, 	4, 	25279, 	191.538, 	 theta = 104192; 	 update: 622	 add root: 1722 	 delete root: 0, 	5429.44 MB, 	5.14836 秒
34, 	296, 	24983, 	193.795, 	 theta = 104192; 	 update: 325	 add root: 6577 	 delete root: 0, 	5432.28 MB, 	5.0407 秒
35, 	4, 	24979, 	193.826, 	 theta = 104192; 	 update: 12595	 add root: 104192 	 delete root: 0, 	5466.57 MB, 	27.0878 秒
36, 	1024, 	23955, 	202.069, 	 theta = 104192; 	 update: 254	 add root: 6714 	 delete root: 0, 	5466.82 MB, 	4.94398 秒
37, 	29, 	23926, 	202.313, 	 theta = 104192; 	 update: 38125	 add root: 104192 	 delete root: 0, 	5546.75 MB, 	68.2557 秒
38, 	20, 	23906, 	202.481, 	 theta = 104192; 	 update: 522	 add root: 231 	 delete root: 0, 	5547.26 MB, 	4.93667 秒
39, 	50, 	23856, 	202.903, 	 theta = 104192; 	 update: 470	 add root: 175 	 delete root: 0, 	5547.26 MB, 	4.84297 秒
40, 	5, 	23851, 	202.946, 	 theta = 52096; 	 update: 863	 add root: 41931 	 delete root: 0, 	5547.78 MB, 	7.43836 秒
41, 	790, 	23061, 	209.864, 	 theta = 52096; 	 update: 266	 add root: 4412 	 delete root: 0, 	5548.04 MB, 	4.45502 秒
42, 	9, 	23052, 	209.945, 	 theta = 103936; 	 update: 29275	 add root: 103936 	 delete root: 0, 	5643.24 MB, 	56.0948 秒
43, 	35, 	23017, 	210.263, 	 theta = 103936; 	 update: 508	 add root: 16708 	 delete root: 0, 	5643.84 MB, 	5.85791 秒
44, 	46, 	22971, 	210.682, 	 theta = 103936; 	 update: 526	 add root: 11688 	 delete root: 0, 	5644.08 MB, 	5.65014 秒
45, 	78, 	22893, 	211.397, 	 theta = 103936; 	 update: 375	 add root: 37846 	 delete root: 0, 	5644.32 MB, 	6.77873 秒
46, 	39, 	22854, 	211.756, 	 theta = 103936; 	 update: 5550	 add root: 66182 	 delete root: 0, 	5657.93 MB, 	15.9432 秒
47, 	4, 	22850, 	211.793, 	 theta = 103936; 	 update: 4570	 add root: 53118 	 delete root: 0, 	5668.5 MB, 	13.8547 秒
48, 	32, 	22818, 	212.088, 	 theta = 103936; 	 update: 435	 add root: 7569 	 delete root: 0, 	5669.53 MB, 	5.30947 秒
49, 	269, 	22549, 	214.606, 	 theta = 103936; 	 update: 1436	 add root: 43202 	 delete root: 0, 	5675.2 MB, 	8.65077 秒
50, 	4, 	22545, 	214.644, 	 theta = 103936; 	 update: 19681	 add root: 103936 	 delete root: 0, 	5716.07 MB, 	40.3899 秒
51, 	4, 	22541, 	214.682, 	 theta = 103936; 	 update: 279	 add root: 8250 	 delete root: 0, 	5717.48 MB, 	5.14639 秒
52, 	4, 	22537, 	214.72, 	 theta = 103936; 	 update: 274	 add root: 7393 	 delete root: 0, 	5718.73 MB, 	5.07388 秒
53, 	4, 	22533, 	214.758, 	 theta = 103936; 	 update: 422	 add root: 8083 	 delete root: 0, 	5719.83 MB, 	5.35549 秒
54, 	7, 	22526, 	214.824, 	 theta = 103936; 	 update: 360	 add root: 7818 	 delete root: 9, 	5720.8 MB, 	5.23042 秒
55, 	187, 	22339, 	216.614, 	 theta = 103936; 	 update: 477	 add root: 14038 	 delete root: 0, 	5722.59 MB, 	5.76343 秒
56, 	21, 	22318, 	216.817, 	 theta = 51968; 	 update: 10022	 add root: 51968 	 delete root: 0, 	5780.33 MB, 	24.2602 秒
57, 	6, 	22312, 	216.875, 	 theta = 103936; 	 update: 10664	 add root: 73050 	 delete root: 0, 	5810.75 MB, 	22.9828 秒
58, 	414, 	21898, 	220.957, 	 theta = 103936; 	 update: 459	 add root: 11971 	 delete root: 0, 	5811.01 MB, 	5.65765 秒
59, 	184, 	21714, 	222.82, 	 theta = 103936; 	 update: 12581	 add root: 103936 	 delete root: 0, 	5885.52 MB, 	31.8815 秒
60, 	19, 	21695, 	223.015, 	 theta = 103936; 	 update: 5137	 add root: 103936 	 delete root: 0, 	5889.9 MB, 	18.6206 秒
61, 	8, 	21687, 	223.097, 	 theta = 103936; 	 update: 880	 add root: 37137 	 delete root: 0, 	5890.41 MB, 	7.86307 秒
62, 	235, 	21452, 	225.53, 	 theta = 103936; 	 update: 908	 add root: 71 	 delete root: 0, 	5890.67 MB, 	5.74116 秒
63, 	5, 	21447, 	225.582, 	 theta = 103680; 	 update: 8194	 add root: 103680 	 delete root: 0, 	6000.24 MB, 	23.9867 秒
64, 	210, 	21237, 	227.803, 	 theta = 103680; 	 update: 476	 add root: 11199 	 delete root: 0, 	6000.76 MB, 	5.77396 秒
